,features,weights,topic
0,question,294.4974054548698,1
1,ask,96.72559739304673,1
2,tax,75.00583023633388,1
3,mean,74.827842452512,1
4,comments,72.68254204542976,1
5,questions,70.84631578860645,1
6,answer,70.67876549569961,1
7,administration,55.150517297245244,1
8,fiscal,49.10372272414904,1
9,course,48.818133263403794,1
10,committee,396.40733789468095,2
11,meeting,132.78335078177486,2
12,members,96.74150694962341,2
13,chairman,87.53676663661803,2
14,board,86.18723736118865,2
15,act,84.4730570297405,2
16,oconnell,80.18565594462545,2
17,statement,77.62210987892689,2
18,minutes,76.51221299228611,2
19,desk,75.87517657149287,2
20,going,279.4887319652199,3
21,say,264.385975792874,3
22,want,249.47559331218224,3
23,staff,238.68270135053092,3
24,chairman,211.75333152387844,3
25,make,196.80579353521222,3
26,point,193.77311496386343,3
27,way,189.20891183426963,3
28,little,187.35718432128945,3
29,economy,173.94180698963447,3
30,rate,628.672030164663,4
31,range,482.68472368240214,4
32,funds,463.250618441278,4
33,aggregates,345.31678165751083,4
34,market,272.0243339002192,4
35,time,271.8883708536369,4
36,federal,259.85746975051353,4
37,rates,257.8328423934003,4
38,monetary,237.21386699007388,4
39,money,208.42895669868182,4
40,right,223.63357253229597,5
41,governor,166.01744218580686,5
42,wallich,122.25854793761074,5
43,volcker,102.37700506381104,5
44,partee,101.5021459476684,5
45,mayo,86.76768224302512,5
46,black,85.4303792411629,5
47,president,83.36557965337644,5
48,coldwell,82.43406900956056,5
49,hear,77.78362039271423,5
50,market,298.32838174241715,6
51,bank,245.4675166794174,6
52,unintelligible,237.798600686797,6
53,banks,230.7248132121473,6
54,treasury,178.26791826618546,6
55,new,171.92663326129374,6
56,foreign,133.3394251804328,6
57,central,129.33618076244917,6
58,chairman,118.34157042925959,6
59,reserve,99.80788360661317,6
60,year,459.44537320220593,7
61,rate,378.5863436459987,7
62,quarter,365.13437230266845,7
63,percent,336.40333821274726,7
64,increase,318.27573419137593,7
65,growth,307.1403389835367,7
66,second,191.78812951196895,7
67,real,175.4464102920343,7
68,capital,157.70512228663796,7
69,higher,140.0260616713011,7
70,business,156.0872319287974,8
71,prices,135.74446547914994,8
72,good,111.3809849885897,8
73,sales,104.59223315356842,8
74,inventory,80.48620277197534,8
75,know,77.90122298904183,8
76,figures,76.42938666254614,8
77,capital,71.18909815035109,8
78,decline,68.89546698250729,8
79,make,66.28959045644106,8
80,time,112.23803581553535,9
81,chairman,109.4686690400193,9
82,know,91.84858623380042,9
83,demand,86.34226576605933,9
84,month,86.1660732346148,9
85,information,74.47513669555295,9
86,impact,65.83601933284037,9
87,factors,52.45727204621484,9
88,believe,47.03031269218126,9
89,didnt,46.83025904834463,9
90,percent,166.11195586724907,10
91,price,119.7170541868871,10
92,prices,108.52540951385292,10
93,wage,76.75075028077168,10
94,years,73.50379051193448,10
95,numbers,73.10887647139333,10
96,labor,70.03849243832208,10
97,energy,64.24781788125516,10
98,figure,54.87338631569468,10
99,forecast,54.48527577804836,10
